"drug_type","case","details","year","percentage","sex","age","race","hispanic"
"All drug overdose deaths","Sex and race and Hispanic origin","Female: Not Hispanic or Latino: Asian or Pacific Islander",2017,1.9,"Female",NA,"Asian or Pacific Islander","No"
"All drug overdose deaths","Sex and race and Hispanic origin","Female: Not Hispanic or Latino: Asian or Pacific Islander",2018,2.1,"Female",NA,"Asian or Pacific Islander","No"
"All drug overdose deaths","Total","All persons",1999,6,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2000,6.2,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2001,6.8,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2002,8.2,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2003,8.9,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2004,9.4,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2005,10.1,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2007,12,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2008,12,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2009,12.1,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2010,12.4,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2011,13.3,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2012,13.2,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2013,13.9,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2014,14.8,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2015,16.3,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2016,19.7,"All persons",NA,NA,NA
"All drug overdose deaths","Total","All persons",2017,21.6,"All persons",NA,NA,NA
"All drug overdose deaths","Age","Under 15 years",1999,0.1,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2000,0.1,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2001,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2002,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2003,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2004,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2005,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2006,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2007,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2008,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2009,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2010,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2011,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2012,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2013,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2014,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2015,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2016,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","Under 15 years",2017,0.2,NA,"Under 15 years",NA,NA
"All drug overdose deaths","Age","15-24 years",1999,3.2,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2000,3.7,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2001,4.2,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2002,5.1,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2003,6,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2004,6.6,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2005,6.9,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2006,8.1,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2007,8.2,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2008,8,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2009,7.7,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2010,8.2,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2011,8.6,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2012,8,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2013,8.3,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2014,8.6,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2015,9.7,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2016,12.4,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","15-24 years",2017,12.6,NA,"15-24 years",NA,NA
"All drug overdose deaths","Age","25-34 years",1999,8.1,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2000,7.9,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2001,8.6,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2002,10.5,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2003,11.4,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2004,11.9,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2005,13.6,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2006,16.1,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2007,16.8,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2008,16.8,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2009,17.2,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2010,18.4,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2011,20.2,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2012,20.1,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2013,20.9,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2014,23.1,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2015,26.9,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2016,34.6,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","25-34 years",2017,38.4,NA,"25-34 years",NA,NA
"All drug overdose deaths","Age","35-44 years",1999,14,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2000,14.3,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2001,15.5,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2002,18.1,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2003,18.9,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2004,19.3,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2005,19.6,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2006,21.7,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2007,21.4,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2008,21.1,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2009,20.5,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2010,20.8,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2011,22.5,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2012,22.1,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2013,23,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2014,25,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2015,28.3,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2016,35,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","35-44 years",2017,39,NA,"35-44 years",NA,NA
"All drug overdose deaths","Age","45-54 years",1999,11.1,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2000,11.6,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2001,13,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2002,16.2,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2003,17.9,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2004,19.3,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2005,21.1,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2006,24.1,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2007,25.1,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2008,25.2,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2009,25.4,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2010,25.1,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2011,26.7,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2012,26.9,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2013,27.5,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2014,28.2,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2015,30,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2016,34.5,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","45-54 years",2017,37.7,NA,"45-54 years",NA,NA
"All drug overdose deaths","Age","55-64 years",1999,4.2,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2000,4.2,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2001,4.7,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2002,6,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2003,6.9,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2004,7.8,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2005,9,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2006,10.5,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2007,12.2,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2008,12.9,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2009,13.7,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2010,15,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2011,15.9,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2012,16.6,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2013,19.2,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2014,20.3,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2015,21.8,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2016,25.6,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","55-64 years",2017,28,NA,"55-64 years",NA,NA
"All drug overdose deaths","Age","65-74 years",1999,2.4,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2000,2,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2001,2.4,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2002,2.8,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2003,2.9,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2004,2.9,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2005,3.2,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2006,3.5,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2007,4,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2008,4.6,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2009,4.7,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2010,4.7,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2011,5.4,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2012,5.8,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2013,6.4,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2014,6.9,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2015,7.2,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2016,8.2,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","65-74 years",2017,9.2,NA,"65-74 years",NA,NA
"All drug overdose deaths","Age","75-84 years",1999,2.8,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2000,2.4,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2001,2.5,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2002,2.8,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2003,2.7,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2004,2.9,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2005,3.1,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2006,3.3,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2007,3.2,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2008,3.3,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2009,3.8,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2010,3.4,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2011,3.4,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2012,3.4,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2013,3.6,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2014,3.6,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2015,3.6,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2016,3.4,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","75-84 years",2017,3.6,NA,"75-84 years",NA,NA
"All drug overdose deaths","Age","85 years and over",1999,3.8,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2000,4.4,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2001,3.7,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2002,4.4,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2003,4.1,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2004,4,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2005,4.1,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2006,4.4,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2007,4.5,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2008,4.1,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2009,4.4,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2010,4.7,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2011,4.2,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2012,4.3,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2013,4.3,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2014,4.1,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2015,4.4,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2016,4,NA,"85 years and over",NA,NA
"All drug overdose deaths","Age","85 years and over",2017,4,NA,"85 years and over",NA,NA
"All drug overdose deaths","Sex","Male",1999,8.2,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2000,8.4,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2001,9,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2002,10.6,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2003,11.5,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2004,11.9,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2005,12.9,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2006,14.9,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2007,15.1,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2008,15,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2009,15,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2010,15.2,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2011,16.3,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2012,16.3,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2013,17.2,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2014,18.4,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Male",2015,20.8,"Male",NA,NA,NA
"All drug overdose deaths","Sex","Female",1999,3.9,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2000,4.1,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2001,4.6,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2002,5.8,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2003,6.4,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2004,6.9,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2005,7.4,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2006,8.3,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2007,9,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2008,9,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2009,9.2,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2010,9.8,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2011,10.3,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2012,10.3,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2013,10.7,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2014,11.3,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2015,11.9,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2016,13.5,"Female",NA,NA,NA
"All drug overdose deaths","Sex","Female",2017,14.3,"Female",NA,NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",1999,0.1,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2000,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2001,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2002,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2003,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2004,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2005,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2006,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2007,0.3,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2008,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2009,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2010,0.3,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2011,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2012,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2013,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2014,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2015,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2016,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: Under 15 years",2017,0.2,"Male","Under 15 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",1999,4.5,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2000,5.3,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2001,6.1,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2002,7.3,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2003,8.8,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2004,9.6,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2005,10,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2006,12,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2007,12,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2008,11.9,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2009,11.3,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2010,11.6,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2011,12.4,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2012,11.4,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2013,11.7,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2014,12.1,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2015,13.3,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2016,17.5,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 15-24 years",2017,17.1,"Male","15-24 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",1999,11.5,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2000,11.3,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2001,12,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2002,14.7,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2003,15.7,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2004,16.6,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2005,18.7,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2006,22.7,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2007,23.4,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2008,23.6,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2009,24,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2010,25,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2011,27.5,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2012,27,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2013,28.6,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2014,31.9,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2015,37.9,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2016,48.9,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 25-34 years",2017,54.3,"Male","25-34 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",1999,19.2,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2000,19.5,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2001,20.6,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2002,23.4,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2003,24.3,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2004,23.8,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2005,24.4,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2006,27.5,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2007,26.7,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2008,25.6,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2009,25.2,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2010,24.9,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2011,26.8,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2012,27.1,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2013,28.1,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2014,30.8,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2015,36.3,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2016,46.9,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 35-44 years",2017,53,"Male","35-44 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",1999,15.2,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2000,15.7,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2001,17,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2002,20.3,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2003,22.6,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2004,23.8,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2005,25.8,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2006,29.7,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2007,29.2,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2008,29.6,"Male","45-54 years",NA,NA
"All drug overdose deaths","Sex and age","Male: 45-54 years",2009,29.1,"Male","45-54 years",NA,NA
